LOC_ID,RADIUS,X,Y
13,0.0,99.0627745265,10.3453517241
14,2.5036147888,103.6240180805,16.6260533213
16,1.1200258155,99.0501186268,14.5821731835
19,0.5946032846,99.5134875291,18.324553963
20,0.0,98.9558833113,18.1180821675
33,0.6610563046795918,101.7195262758,6.179233624699999
38,0.5500049301,101.3515000017,6.7304970379
4,3.6449215271,103.7124853697,18.1459245597
43,0.0,99.6193674015,12.9465440601
47,0.0,100.0679575075,18.1994932094
66,0.0,99.8919178386,14.6057169258
74,0.5881626912,99.4795263414,15.348817183900001
