Provinces,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Amnat Charoen,372241,373494,374698,375380,376382,377120,378107,378621,378438,376195
Ang Thong,284061,283882,283732,283568,283173,282404,281187,280840,279654,276584
Bangkok,5674843,5673560,5686252,5692284,5696409,5686646,5682415,5676648,5666264,5588222
Bungkan,407634,412613,416236,418566,420647,421625,423032,423940,424091,422042
Buri Ram,1559085,1566740,1573438,1579248,1584661,1587897,1591905,1594850,1595747,1581184
Chachoengsao,679370,685721,690226,695478,700902,704399,709889,715009,720113,720718
Chai Nat,333256,333172,332769,332283,331655,330431,329722,328263,326611,322477
Chaiyaphum,1127423,1133034,1135723,1137049,1138252,1138199,1139356,1138777,1137357,1124924
Chanthaburi,516855,521812,524260,527350,531037,532466,534459,536496,537698,535559
Chiang Mai,1646144,1655642,1666888,1678284,1728242,1735762,1746840,1763742,1779254,1784370
Chiang Rai,1198656,1200423,1204660,1207699,1277950,1282544,1287615,1292130,1298304,1295026
Chon Buri,1338656,1364002,1390354,1421425,1455039,1483049,1509125,1535445,1558301,1566885
Chumphon,492182,495310,498294,500575,505830,507604,509650,510963,511304,509208
Kalasin,981655,985084,984030,984907,985203,985232,986005,985346,983418,977175
Kamphaeng Phet,726009,727555,728631,729522,730158,729542,729133,727807,725867,714118
Kanchanaburi,838914,838269,842882,848198,882146,885112,887979,893151,895525,891976
Khon Kaen,1766066,1774816,1781655,1790049,1798014,1801753,1805910,1805895,1802872,1794531
Krabi,438039,444967,450890,456811,462101,465931,469769,473738,476739,477770
Lampang,757534,756811,754862,753013,752356,748850,746547,742883,738316,728964
Lamphun,403952,404673,405268,405468,406385,405999,405918,405955,405075,402011
Loei,624920,629787,632205,634513,638819,639801,641666,642773,642950,638736
Lop Buri,756127,758059,757970,758406,758655,757321,757273,758733,755556,742928
Mae Hong Son,244048,244356,246549,248178,273764,275884,279088,282566,284138,284549
Maha Sarakham,939736,945149,955644,960588,964596,963484,963072,963047,962665,953660
Mukdahan,340581,342868,344302,346016,348101,349474,350782,352282,353174,350911
Nakhon Nayok,253831,255174,256085,257300,258577,258358,259342,260093,260751,260081
Nakhon Pathom,866064,874616,882184,891071,899342,905008,911492,917053,920030,920729
Nakhon Phanom,704768,708350,710860,713341,715399,716873,718028,718786,719136,717201
Nakhon Ratchasima,2585325,2601167,2610164,2620517,2628818,2631435,2639226,2646401,2648927,2633207
Nakhon Sawan,1071686,1073347,1073142,1072756,1071942,1066455,1065334,1063964,1059887,1040308
Nakhon Si Thammarat,1526071,1534887,1541843,1548028,1552530,1554432,1557482,1560433,1561927,1550721
Nan,476612,477673,477912,478264,479518,479916,479838,478989,478227,476727
Narathiwat,747372,757397,766145,774799,783082,789681,796239,802474,808020,804429
Nong Bua Lam Phu,502551,505071,507137,508864,510074,510734,511641,512117,512780,509470
Nong Khai,509870,512439,514943,517260,519580,520363,521886,522103,522311,517435
Nonthaburi,1122627,1141673,1156271,1173870,1193711,1211924,1229735,1246295,1265387,1276745
Pathum Thani,1010898,1033837,1053158,1074058,1094249,1111376,1129115,1146092,1163604,1176412
Pattani,663485,671615,678838,686186,694023,700961,709796,718077,725104,726015
Phangnga,254931,257493,259420,261370,264074,265579,267491,268240,268788,268229
Phatthalung,511063,514492,518021,520419,522723,523723,524857,525044,524865,523077
Phayao,486472,488120,486744,484454,482645,479188,477100,475215,472356,467356
Phetchabun,990807,993702,994397,995807,996986,995223,995331,994540,992451,981940
Phetchaburi,466079,468874,471087,474192,478589,480652,482375,484294,485191,482193
Phichit,549688,549395,548855,547543,545957,543482,541868,539374,536311,532310
Phitsanulok,851357,854372,856376,858988,863404,865759,865368,866891,865247,849481
P.Nakhon S.Ayutthaya,787653,793509,797970,803599,808360,810320,813852,817441,820188,819088
Phrae,458750,457607,456074,454083,452346,449810,447564,445090,441726,437350
Phuket,353847,360905,369522,378364,386605,394169,402017,410211,416582,414471
Prachin Buri,469652,473770,476167,479314,482195,484829,487544,491640,494680,493670
Prachuap Khiri Khan,512568,517050,520271,525107,534719,539534,543979,548815,554116,550678
Ranong,183849,182648,174776,177089,187536,189154,190399,191868,193370,194372
Ratchaburi,842684,846631,850162,853217,867883,869823,871714,873518,873101,869313
Rayong,637736,649275,661220,674393,688999,700223,711236,723316,734753,741524
Roi Et,1305058,1308570,1308958,1308318,1308166,1307982,1307911,1307208,1305211,1298640
Sa Kaeo,545596,548342,550937,552187,556922,559017,561938,564092,566303,560925
Sakon Nakhon,1123351,1129174,1134322,1138609,1142737,1145949,1149472,1152282,1153390,1146936
Samut Prakan,1203223,1223302,1241610,1261530,1279310,1293553,1310766,1326608,1344875,1351479
Samut Sakhon,499098,508812,519457,531887,545454,556719,568465,577964,584703,586199
Samut Songkhram,194086,194042,194116,194189,194376,194069,193902,193791,193305,192052
Saraburi,620454,625689,629216,633460,637673,640065,642040,645024,645911,643828
Satun,301467,305879,309793,312673,315923,317612,319700,321574,323586,324098
Si Sa Ket,1452203,1458370,1462028,1465213,1468798,1470341,1472031,1473011,1472859,1458580
Sing Buri,213587,213216,212690,212158,211426,210588,210088,209377,208446,205898
Songkhla,1367010,1378574,1389890,1401303,1410577,1417440,1424230,1432628,1435968,1428609
Sukhothai,601504,602601,602713,602460,601712,600231,599319,597257,595072,587883
Suphan Buri,845053,847308,848066,849053,849699,848567,852003,848720,846334,838628
Surat Thani,1012064,1023288,1031812,1040230,1046772,1050913,1057581,1063501,1068010,1067726
Surin,1380399,1386277,1388194,1391636,1395024,1395567,1397180,1397857,1396831,1378221
Tak,531018,526045,532353,539553,618382,631965,644267,654676,665620,670265
Trang,626708,631920,636043,638746,640793,641684,643072,643116,643164,640574
Trat,222013,222855,224010,224730,229435,229437,229649,229914,229958,228536
Ubon Ratchathani,1816057,1826920,1836523,1844669,1857429,1862965,1869633,1874548,1878146,1866697
Udon Thani,1548107,1557298,1563964,1570300,1575152,1578783,1583092,1586666,1586646,1567983
Uthai Thani,328034,328950,329536,330179,330906,330299,329942,329433,328618,325868
Uttaradit,461040,461294,460995,460400,459768,458197,457092,455403,453103,448745
Yala,493767,500814,506138,511911,518139,522279,527295,532326,536330,538602
Yasothon,538853,540267,540383,540211,540182,539815,539542,538729,537299,534500
